1,"100/100"
2,"正在加载地图资源，请耐心等待"
3,"0%"
4,"MetaWorld"
5,"广告奖励"
6,"看广告可以使用这个厉害的武器哟~"
7,"取消"
8,"免费获取"
9,"Text"
10,"使用"
11,"Play Ads"
12,"天阶高级斗技"
13,"点击获得"
14,"未拥有"
15,"333/333"
16,"斗技斗技"
17,"这里是角色套装界面,可以选择炫酷的技能进行战斗。"
18,"点击任意位置继续……"
19,"斗技功法"
20,"捏脸换装"
21,"背景音乐"
22,"在线奖励"
23,"领取任务"
24,"排行榜"
25,"免费升级"
26,"点我回家"
27,"STAY"
28,"攻击力：999"
29,"超凡大师 Lv.999"
30,"血量:100/100"
31,"斗气:100/100"
32,"经验：9999999/9999999"
33,"是否开启队友误伤"
34,"已开启防御"
35,"999999999"
36,"九连杀！超越神啦！"
37,"复活倒计时"
38,"3"
39,"复活后2秒内无敌"
40,"你是谁你是谁你是"
41," 击败 "
42,"×36000"
43,"随机2个永久套装"
44,"02:59:44"
45,"已领取"
46,"可领取"
47,"超凡大师 等级Lv.999"
48,"爱玩游戏的小胖子"
49,"确定要花费200000购买此英雄套装吗？"
50,"确定"
51,"免费使用"
52,"需要花费200000金币购买"
53,"看广告可免费使用一次"
54,"未获得"
55,"限时"
56,"保存"
57,"登陆游戏 (1/1)"
58,"500"
59,"50000"
60,"领取奖励"
61,"未完成"
62,"每日任务"
63,"剩余: 15小时"
64,"任务已全部完成，等待刷新..."
65,"每周任务"
66,"1000"
67,"100"
68,"999"
69,"99"
70,"全服排行榜"
71,"排名"
72,"名字"
73,"等级"
74,"高度"
75,"击杀"
76,"等级模式"
77,"高度模式"
78,"击杀模式"
79,"段位 Lv.等级"
80,"你所在房间内的排行榜。点击右侧排行模式按钮会刷新排行榜模式。"
81,"切换房间排行榜"
82,"切换全服排行榜"
83,"清晨"
84,"中午"
85,"傍晚"
86,"凌晨"
87,"打招呼"
88,"行礼"
89,"点赞"
90,"比心"
91,"摇头"
92,"后空翻"
93,"打CALL"
94,"生气"
95,"哭泣"
96,"劲舞"
97,"海盗舞"
98,"慢摇"
99,"电子舞"
100,"旋转"
101,"扭腰"
102,"炫舞"
103,"舞蹈"
104,"嘻哈舞"
105,"跳跃舞姿"
106,"街舞"
107,"霹雳舞"
108,"太空步"
109,"洛基"
110,"太阳神"
111,"宇智波斑"
112,"纳米机甲女性"
113,"死侍"
114,"火山哨兵"
115,"绯红女巫"
116,"钢铁侠"
117,"雷神"
118,"蜘蛛侠"
